Order,S1,S2,S3,S4
1,0.7912745937,0.7750213858,0.7852865697,0.7869974337
2,0.7177074423,0.6988879384,0.744225834,0.7271171942
3,0.7792985458,0.7698887938,0.7715996578,0.7647562019
4,0.7613344739,0.744225834,0.751924722,0.75106929
5,0.7904191617,0.7681779299,0.744225834,0.753635586
6,0.7878528657,0.7570573139,0.7365269461,0.744225834
7,0.7998289136,0.7707442258,0.7271171942,0.7408041061
8,0.7904191617,0.7681779299,0.7313943541,0.7373823781
9,0.7972626176,0.7775876818,0.7236954662,0.7296834902
10,0.7938408896,0.7784431138,0.7254063302,0.7177074423
11,0.7895637297,0.7715996578,0.7245508982,0.7185628743
12,0.7887082977,0.7698887938,0.7151411463,0.7065868263
13,0.7921300257,0.7707442258,0.7168520103,0.7151411463
14,0.7921300257,0.7673224979,0.7134302823,0.7031650984
15,0.7887082977,0.7707442258,0.7194183062,0.7048759624
16,0.7869974337,0.7715996578,0.7151411463,0.7057313944
17,0.7878528657,0.7724550898,0.7177074423,0.7151411463
18,0.7869974337,0.7715996578,0.7091531223,0.7125748503
19,0.7887082977,0.7707442258,0.7134302823,0.7134302823
20,0.7878528657,0.7690333618,0.7117194183,0.7108639863
21,0.7869974337,0.7715996578,0.7091531223,0.7125748503
22,0.7869974337,0.7724550898,0.7100085543,0.7134302823
23,0.7869974337,0.7724550898,0.7108639863,0.7151411463
24,0.7869974337,0.7733105218,0.7065868263,0.7159965783
25,0.7869974337,0.7724550898,0.7091531223,0.7185628743
26,0.7869974337,0.7733105218,0.7082976903,0.7185628743
27,0.7878528657,0.7724550898,0.7134302823,0.7134302823
28,0.7878528657,0.7715996578,0.7100085543,0.7125748503
29,0.7869974337,0.7715996578,0.7074422583,0.7142857143
30,0.7878528657,0.7715996578,0.7091531223,0.7142857143
31,0.7869974337,0.7724550898,0.7100085543,0.7142857143
32,0.7869974337,0.7724550898,0.7100085543,0.7168520103
33,0.7869974337,0.7724550898,0.7117194183,0.7134302823
34,0.7869974337,0.7733105218,0.7074422583,0.7142857143
35,0.7869974337,0.7724550898,0.7091531223,0.7125748503
36,0.7869974337,0.7724550898,0.7074422583,0.7134302823
37,0.7869974337,0.7724550898,0.7065868263,0.7108639863
38,0.7869974337,0.7724550898,0.7065868263,0.7108639863
39,0.7869974337,0.7724550898,0.7048759624,0.7100085543
40,0.7869974337,0.7733105218,0.7040205304,0.7091531223
41,0.7869974337,0.7724550898,0.7065868263,0.7100085543
42,0.7869974337,0.7724550898,0.7065868263,0.7100085543
43,0.7869974337,0.7724550898,0.7040205304,0.7100085543
44,0.7869974337,0.7724550898,0.7065868263,0.7091531223
45,0.7869974337,0.7724550898,0.7100085543,0.7100085543
46,0.7869974337,0.7724550898,0.7057313944,0.7100085543
47,0.7869974337,0.7724550898,0.7082976903,0.7100085543
48,0.7869974337,0.7724550898,0.7040205304,0.7100085543
49,0.7869974337,0.7724550898,0.7082976903,0.7100085543
50,0.7869974337,0.7724550898,0.7074422583,0.7100085543
